frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
83,2,changing oil,0.06
83,3,finger snapping,0.04
83,4,eating chips,0.03
84,0,driving car,0.41
84,1,texting,0.36
84,2,changing oil,0.05
84,3,eating chips,0.04
84,4,finger snapping,0.04
85,0,texting,0.37
85,1,driving car,0.36
85,2,finger snapping,0.05
85,3,changing oil,0.05
85,4,eating chips,0.04
86,0,driving car,0.38
86,1,texting,0.35
86,2,finger snapping,0.05
86,3,changing oil,0.05
86,4,smoking,0.03
87,0,driving car,0.38
87,1,texting,0.34
87,2,changing oil,0.06
87,3,finger snapping,0.04
87,4,eating chips,0.03
88,0,driving car,0.37
88,1,texting,0.34
88,2,changing oil,0.05
88,3,eating chips,0.04
88,4,finger snapping,0.04
89,0,texting,0.36
89,1,driving car,0.34
89,2,finger snapping,0.06
89,3,changing oil,0.05
89,4,smoking,0.04
90,0,driving car,0.35
90,1,texting,0.34
90,2,finger snapping,0.05
90,3,changing oil,0.05
90,4,smoking,0.04
91,0,driving car,0.35
91,1,texting,0.33
91,2,changing oil,0.07
91,3,finger snapping,0.04
91,4,smoking,0.04
92,0,texting,0.35
92,1,driving car,0.34
92,2,changing oil,0.06
92,3,smoking,0.05
92,4,eating chips,0.05
93,0,texting,0.36
93,1,driving car,0.31
93,2,finger snapping,0.06
93,3,smoking,0.05
93,4,changing oil,0.05
94,0,texting,0.34
94,1,driving car,0.32
94,2,changing oil,0.06
94,3,finger snapping,0.06
94,4,smoking,0.05
95,0,texting,0.33
95,1,driving car,0.33
95,2,changing oil,0.07
95,3,smoking,0.05
95,4,finger snapping,0.04
96,0,texting,0.36
96,1,driving car,0.32
96,2,changing oil,0.06
96,3,smoking,0.05
96,4,eating chips,0.05
97,0,texting,0.36
97,1,driving car,0.29
97,2,smoking,0.06
97,3,finger snapping,0.05
97,4,changing oil,0.05
98,0,texting,0.34
98,1,driving car,0.31
98,2,changing oil,0.07
98,3,smoking,0.06
98,4,finger snapping,0.05
99,0,texting,0.34
99,1,driving car,0.3
99,2,changing oil,0.08
99,3,smoking,0.05
99,4,finger snapping,0.04
100,0,texting,0.35
100,1,driving car,0.29
100,2,changing oil,0.08
100,3,smoking,0.06
100,4,eating chips,0.05
101,0,texting,0.35
101,1,driving car,0.28
101,2,changing oil,0.06
101,3,smoking,0.06
101,4,finger snapping,0.05
102,0,texting,0.34
102,1,driving car,0.29
102,2,changing oil,0.08
102,3,smoking,0.06
102,4,finger snapping,0.05
103,0,texting,0.33
103,1,driving car,0.29
103,2,changing oil,0.1
103,3,smoking,0.05
103,4,finger snapping,0.04
104,0,texting,0.34
104,1,driving car,0.28
104,2,changing oil,0.09
104,3,smoking,0.06
104,4,eating chips,0.05
105,0,texting,0.34
105,1,driving car,0.26
105,2,changing oil,0.08
105,3,smoking,0.06
105,4,finger snapping,0.05
106,0,texting,0.32
106,1,driving car,0.27
106,2,changing oil,0.1
106,3,smoking,0.07
106,4,finger snapping,0.05
107,0,texting,0.32
107,1,driving car,0.26
107,2,changing oil,0.11
107,3,smoking,0.07
107,4,finger snapping,0.05
108,0,texting,0.32
108,1,driving car,0.26
108,2,changing oil,0.09
108,3,smoking,0.07
108,4,eating chips,0.05
109,0,texting,0.31
109,1,driving car,0.25
109,2,changing oil,0.09
109,3,smoking,0.07
109,4,finger snapping,0.06
